                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.96277,                0.64346,                0.97594,                0.78996,                0.58333,                0.68333,                0.29879,                  2.137,                 1.4719,                 1.9437,              0.0005546,              0.0005546,              0.0005546
                     75,                0.93747,                0.61146,                0.96895,                0.70992,                0.71388,                0.73031,                0.29925,                 2.1271,                 1.4555,                 1.9147,              0.0005348,              0.0005348,              0.0005348
                     76,                0.95446,                0.62287,                0.98472,                0.71523,                0.70833,                0.73034,                0.31214,                 2.0889,                  1.468,                  1.884,               0.000515,               0.000515,               0.000515
                     77,                0.86777,                0.57576,                 0.9691,                 0.7996,                0.66503,                0.72311,                0.32012,                 2.0812,                 1.5148,                  1.928,              0.0004952,              0.0004952,              0.0004952
                     78,                0.86196,                0.56365,                0.95109,                0.76764,                0.64583,                 0.7128,                0.31938,                 2.0788,                 1.5534,                 1.9288,              0.0004754,              0.0004754,              0.0004754
                     79,                0.90043,                0.60487,                0.98174,                0.66873,                0.72917,                0.70781,                0.32376,                 2.0084,                 1.4844,                 1.8187,              0.0004556,              0.0004556,              0.0004556
                     80,                0.88509,                0.58768,                0.96054,                0.76819,                0.70833,                0.72543,                0.33805,                 2.0446,                 1.3988,                 1.8175,              0.0004358,              0.0004358,              0.0004358
                     81,                0.86861,                0.60555,                0.96928,                0.68339,                0.76454,                0.72225,                0.31948,                 2.1139,                 1.3843,                 1.9058,               0.000416,               0.000416,               0.000416
                     82,                0.83906,                0.58505,                0.94924,                0.70011,                0.70833,                0.70592,                0.28721,                 2.1564,                 1.4052,                 1.9465,              0.0003962,              0.0003962,              0.0003962
                     83,                0.90378,                0.60655,                0.97227,                0.72069,                 0.6875,                0.70459,                0.29262,                 2.1103,                 1.3512,                 1.9067,              0.0003764,              0.0003764,              0.0003764
                     84,                0.86178,                0.57349,                0.94552,                0.72238,                0.70477,                0.70533,                 0.2905,                 2.1093,                 1.3419,                 1.9063,              0.0003566,              0.0003566,              0.0003566
                     85,                0.87697,                0.67064,                 1.0018,                0.71395,                0.70833,                0.70272,                0.29365,                 2.1223,                 1.3249,                 1.9211,              0.0003368,              0.0003368,              0.0003368
                     86,                0.84589,                 0.5787,                0.93485,                0.69612,                0.71596,                0.71027,                0.30775,                 2.1098,                 1.3067,                 1.9218,               0.000317,               0.000317,               0.000317
                     87,                0.78088,                0.54275,                0.92431,                0.77818,                0.65791,                0.71305,                0.31588,                 2.0917,                 1.3211,                 1.9366,              0.0002972,              0.0002972,              0.0002972
                     88,                0.78748,                  0.553,                0.92781,                0.70813,                0.70833,                0.71545,                0.33053,                 2.0398,                 1.3364,                 1.9044,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.8079,                0.53315,                0.93936,                0.77162,                0.64583,                0.71397,                 0.3335,                  2.042,                 1.4002,                 1.9141,              0.0002576,              0.0002576,              0.0002576
                     90,                0.82532,                0.57309,                0.95561,                 0.7185,                0.69133,                0.70499,                0.31084,                 2.0801,                 1.4363,                 1.9535,              0.0002378,              0.0002378,              0.0002378
                     91,                0.78195,                0.51582,                0.92654,                0.76327,                0.64583,                0.71701,                0.31577,                  2.091,                 1.4522,                 1.9639,               0.000218,               0.000218,               0.000218
                     92,                0.72443,                0.52097,                0.91781,                0.78894,                0.62305,                0.71875,                0.30294,                 2.0595,                 1.4358,                 1.9319,              0.0001982,              0.0001982,              0.0001982
                     93,                0.70468,                0.48044,                0.92421,                0.79376,                0.64155,                0.71235,                0.30972,                 2.0486,                  1.424,                 1.9163,              0.0001784,              0.0001784,              0.0001784
                     94,                0.70708,                0.47202,                 0.9066,                 0.7874,                0.64583,                 0.7126,                 0.3219,                  2.027,                 1.4128,                 1.8926,              0.0001586,              0.0001586,              0.0001586
                     95,                0.69832,                0.45804,                0.90373,                0.78569,                0.68741,                0.70316,                0.30809,                 2.0314,                 1.3924,                 1.9044,              0.0001388,              0.0001388,              0.0001388
                     96,                0.68681,                0.47047,                0.90924,                 0.7846,                0.68306,                0.70394,                0.30885,                 2.0418,                 1.3622,                 1.9165,               0.000119,               0.000119,               0.000119
                     97,                0.67102,                 0.4595,                0.89544,                0.75992,                 0.6875,                0.70583,                0.31287,                 2.0386,                 1.3741,                 1.9111,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.61615,                0.43917,                 0.8808,                0.79501,                0.64583,                0.71237,                0.32131,                 2.0268,                 1.3896,                  1.895,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.63088,                0.45646,                0.89657,                0.75945,                0.70833,                0.72655,                0.32765,                   2.02,                 1.3782,                 1.8802,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.67878,                0.46945,                0.88439,                0.75027,                0.70833,                0.72669,                0.32792,                 2.0179,                 1.3592,                 1.8737,               3.98e-05,               3.98e-05,               3.98e-05
